Gender,Senior Citizen,Partner,Dependents,Tenure Months,Phone Service,Multiple Lines,Online Security,Online Backup,Device Protection,Tech Support,Streaming TV,Streaming Movies,Contract,Paperless Billing,Monthly Charges,Total Charges,Tenure_Group,Num_Add_On_Services,Has_Online_Services,Avg_Monthly_Spend,Is_Long_Term_Contract,Internet Service_Fiber optic,Internet Service_No,Payment Method_Credit card (automatic),Payment Method_Electronic check,Payment Method_Mailed check,Churn Label
0,0,0,1,11,1,1,0,0,1,0,1,1,0,1,97.85,1105.4,0,3,0,100.49,0,1,0,0,0,0,1
0,0,0,1,2,1,0,0,0,0,0,1,0,0,1,80.65,144.15,0,1,0,72.08,0,1,0,0,1,0,1
0,0,0,1,15,1,0,1,1,0,0,1,1,0,1,99.1,1426.4,1,4,1,95.09,0,1,0,1,0,0,1
0,1,1,1,8,1,1,0,1,0,0,0,0,0,1,80.65,633.3,0,1,1,79.16,0,1,0,1,0,0,1
1,1,0,1,18,1,1,0,0,0,0,1,1,0,1,95.45,1752.55,1,2,0,97.36,0,1,0,0,1,0,1
0,0,0,1,9,1,1,0,0,0,0,1,1,0,0,94.4,857.25,0,2,0,95.25,0,1,0,0,1,0,1
0,0,0,1,1,1,0,0,0,0,0,1,0,0,1,79.35,79.35,0,1,0,79.35,0,1,0,0,1,0,1
0,0,1,1,7,1,0,0,0,1,0,0,0,0,1,75.15,496.9,0,1,0,70.99,0,1,0,0,0,0,1
0,0,0,1,12,1,1,1,0,0,0,0,0,0,1,78.95,927.35,0,1,1,77.28,0,1,0,0,1,0,1
1,0,0,0,5,1,0,0,0,0,0,0,0,0,0,21.05,113.85,0,0,0,22.77,0,0,1,0,0,1,1
0,1,1,1,25,1,0,0,1,1,0,1,1,0,1,98.5,2514.5,2,4,1,100.58,0,1,0,0,1,0,1
1,0,1,0,68,1,1,0,1,1,1,1,1,2,1,110.0,7611.85,3,5,1,111.94,1,1,0,0,0,0,1
1,0,1,1,55,1,1,1,1,0,0,1,0,0,1,96.75,5238.9,3,3,1,95.25,0,1,0,0,1,0,1
0,1,1,1,37,1,1,0,0,0,0,0,0,0,1,76.5,2868.15,2,0,0,77.52,0,1,0,0,1,0,1
0,0,1,1,10,1,1,1,0,0,0,1,1,0,1,100.25,1064.65,0,3,1,106.46,0,1,0,0,1,0,1
1,0,0,1,3,1,1,0,0,0,0,0,0,0,1,74.4,229.55,0,0,0,76.52,0,1,0,0,1,0,1
0,1,0,1,27,1,1,0,0,1,0,0,0,0,1,78.05,2135.5,2,1,0,79.09,0,1,0,0,1,0,1
0,0,1,0,25,0,0,1,1,1,0,1,1,0,1,58.6,1502.65,2,5,1,60.11,0,0,0,1,0,0,1
1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,35.45,35.45,0,1,0,35.45,0,0,0,0,1,0,1
1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,44.35,81.25,0,0,0,40.62,0,0,0,0,1,0,1
0,1,1,1,1,1,0,0,0,0,0,0,0,0,1,70.45,70.45,0,0,0,70.45,0,1,0,0,0,1,1
0,0,0,0,8,1,1,1,0,0,1,0,1,0,0,71.15,563.65,0,3,1,70.46,0,0,0,0,1,0,1
1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,45.65,45.65,0,0,0,45.65,0,0,0,0,1,0,1
1,0,0,1,7,1,1,0,0,0,0,1,1,0,0,95.0,655.5,0,2,0,93.64,0,1,0,0,0,1,1
0,0,1,1,20,1,1,1,0,0,0,0,0,0,0,82.4,1592.35,1,1,1,79.62,0,1,0,0,1,0,1
0,0,0,1,4,1,0,0,0,0,0,0,0,0,1,70.9,273.0,0,0,0,68.25,0,1,0,0,0,0,1
1,1,1,0,58,0,0,0,1,1,0,0,1,0,1,45.3,2651.2,3,3,1,45.71,0,0,0,0,1,0,1
0,0,1,1,2,1,1,0,0,1,1,1,1,0,1,104.4,242.8,0,4,0,121.4,0,1,0,0,1,0,1
0,0,1,0,53,1,0,0,0,1,0,1,1,1,1,94.85,5000.2,3,3,0,94.34,1,1,0,0,0,0,1
0,1,0,1,15,1,1,0,0,0,0,0,0,0,1,74.45,1145.7,1,0,0,76.38,0,1,0,0,0,1,1
0,1,0,1,7,1,0,1,0,0,0,0,0,0,0,76.45,503.6,0,1,1,71.94,0,1,0,0,0,0,1
0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,29.95,29.95,0,1,1,29.95,0,0,0,0,0,0,1
1,0,0,1,8,1,1,0,0,0,0,0,1,0,0,84.5,662.65,0,1,0,82.83,0,1,0,0,0,0,1
0,0,0,1,13,1,0,0,1,1,0,0,0,0,1,79.25,1111.65,1,2,1,85.51,0,1,0,0,1,0,1
0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,24.8,24.8,0,0,0,24.8,0,0,0,0,1,0,1
1,0,1,1,6,1,0,0,1,1,0,0,1,0,1,91.0,531.0,0,3,1,88.5,0,1,0,0,1,0,1
1,0,0,1,1,1,0,0,0,0,0,0,1,0,0,79.9,79.9,0,1,0,79.9,0,1,0,0,1,0,1
0,0,0,1,19,1,0,1,0,1,1,1,1,0,1,106.6,1934.45,1,5,1,101.81,0,1,0,0,1,0,1
1,0,0,0,2,1,0,0,0,0,0,0,0,0,1,46.0,84.5,0,0,0,42.25,0,0,0,1,0,0,1
0,0,0,1,4,1,0,0,0,0,0,0,0,0,1,70.15,268.35,0,0,0,67.09,0,1,0,0,1,0,1
1,0,1,0,4,1,0,0,0,0,1,0,0,0,0,50.05,179.35,0,1,0,44.84,0,0,0,0,0,1,1
0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,55.2,55.2,0,1,0,55.2,0,0,0,0,0,1,1
1,0,0,1,1,1,0,1,0,0,0,0,1,0,1,84.6,84.6,0,2,1,84.6,0,1,0,0,0,1,1
1,0,0,0,2,1,1,0,1,0,0,0,0,0,1,54.4,114.1,0,1,1,57.05,0,0,0,0,0,1,1
0,1,0,1,11,1,0,0,1,0,0,1,1,0,1,95.0,1120.3,0,3,1,101.85,0,1,0,0,1,0,1
1,1,0,0,15,1,0,0,1,0,0,0,0,0,1,74.4,1074.3,1,1,1,71.62,0,1,0,0,1,0,1
1,0,0,0,1,1,0,1,0,0,0,0,0,0,1,48.55,48.55,0,1,1,48.55,0,0,0,0,0,1,1
0,0,1,0,2,1,0,0,0,0,0,0,0,0,0,70.4,147.15,0,0,0,73.58,0,1,0,0,1,0,1
1,1,1,0,1,0,0,0,1,0,0,1,0,0,0,40.2,40.2,0,2,1,40.2,0,0,0,0,1,0,1
0,0,1,0,2,1,0,0,0,0,0,0,0,0,1,44.6,80.55,0,0,0,40.28,0,0,0,1,0,0,1
1,1,0,0,3,0,0,0,0,1,0,0,1,0,1,41.15,132.2,0,2,0,44.07,0,0,0,0,1,0,1
1,1,0,0,13,1,1,0,1,1,0,1,1,0,1,106.9,1364.3,1,4,1,104.95,0,1,0,0,1,0,1
1,0,0,0,59,1,0,0,0,0,0,0,0,2,0,19.35,1099.6,3,0,0,18.64,1,0,1,0,0,1,1
0,1,0,0,16,1,0,0,0,0,1,1,1,0,1,94.45,1511.2,1,3,0,94.45,0,1,0,0,1,0,1
1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,24.8,24.8,0,0,0,24.8,0,0,0,0,0,0,1
1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,70.6,70.6,0,0,0,70.6,0,1,0,0,0,1,1
1,0,1,0,5,1,1,0,1,0,1,0,0,0,1,85.4,401.1,0,2,1,80.22,0,1,0,0,1,0,1
0,0,1,0,52,1,1,0,1,1,0,1,1,0,1,105.05,5624.85,3,4,1,108.17,0,1,0,0,1,0,1
1,0,1,0,18,1,0,0,0,1,0,1,1,0,0,95.15,1779.95,1,3,0,98.89,0,1,0,0,0,1,1
1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,70.0,70.0,0,0,0,70.0,0,1,0,0,1,0,1
1,1,0,0,8,1,0,0,1,0,0,0,0,0,1,74.5,606.55,0,1,1,75.82,0,1,0,0,1,0,1
1,0,0,0,10,1,0,0,0,0,0,0,0,0,1,44.85,435.4,0,0,0,43.54,0,0,0,1,0,0,1
1,1,0,0,24,1,1,0,0,0,0,0,0,0,1,76.1,1712.7,1,0,0,71.36,0,1,0,0,1,0,1
0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,73.6,73.6,0,1,1,73.6,0,1,0,0,0,1,1
0,1,0,0,4,1,1,0,0,0,0,1,1,0,1,95.45,396.1,0,2,0,99.02,0,1,0,0,1,0,1
1,1,1,0,32,1,1,0,0,0,0,0,0,0,1,74.9,2303.35,2,0,0,71.98,0,1,0,0,1,0,1
1,0,0,0,5,1,0,0,0,0,0,1,0,0,1,80.6,415.55,0,1,0,83.11,0,1,0,0,1,0,1
0,0,1,0,38,1,0,1,1,0,1,1,1,1,0,80.3,3058.65,2,5,1,80.49,1,0,0,1,0,0,1
1,1,1,0,24,1,0,0,0,1,0,1,1,0,1,93.15,2231.05,1,3,0,92.96,0,1,0,0,1,0,1
0,1,0,0,54,1,1,1,1,0,1,1,1,1,0,82.45,4350.1,3,5,1,80.56,1,0,0,0,0,0,1
0,1,0,0,2,1,0,0,0,0,0,0,0,0,1,70.35,139.05,0,0,0,69.53,0,1,0,0,1,0,1
0,0,0,0,7,1,1,0,0,0,0,0,0,0,1,73.85,511.25,0,0,0,73.04,0,1,0,0,1,0,1
0,0,0,0,2,1,1,0,0,1,0,0,0,0,0,80.6,155.8,0,1,0,77.9,0,1,0,0,0,1,1
1,0,1,0,68,1,1,0,1,1,1,0,1,1,1,75.8,5293.95,3,4,1,77.85,1,0,0,0,0,0,1
0,0,0,0,43,1,1,0,1,1,0,1,1,2,1,104.6,4759.85,2,4,1,110.69,1,1,0,0,1,0,1
1,0,1,0,63,1,1,0,1,1,0,1,1,0,1,103.4,6603.0,3,4,1,104.81,0,1,0,0,1,0,1
0,0,0,0,2,1,0,0,0,0,0,1,1,0,1,90.4,168.2,0,2,0,84.1,0,1,0,0,1,0,1
1,0,1,0,4,1,1,0,1,1,0,0,0,0,1,84.8,371.9,0,2,1,92.98,0,1,0,0,0,0,1
0,1,0,0,21,0,0,1,0,0,0,1,0,0,1,41.9,840.1,1,2,1,40.0,0,0,0,0,1,0,1
0,0,0,0,10,1,0,0,0,0,0,0,1,0,1,80.25,846.0,0,1,0,84.6,0,1,0,0,0,0,1
1,1,1,0,27,0,0,1,0,0,0,0,0,0,0,30.75,805.1,2,1,1,29.82,0,0,0,1,0,0,1
1,0,0,0,5,1,0,0,0,1,0,1,1,0,0,96.5,492.55,0,3,0,98.51,0,1,0,0,0,0,1
1,0,0,0,2,1,1,0,0,0,0,1,0,0,1,85.65,181.5,0,1,0,90.75,0,1,0,0,1,0,1
0,0,1,0,25,1,1,0,0,1,1,1,1,0,1,104.95,2566.5,2,4,0,102.66,0,1,0,0,0,0,1
1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,50.65,50.65,0,1,1,50.65,0,0,0,0,0,1,1
1,0,0,0,1,1,1,0,1,0,0,0,1,0,1,90.85,90.85,0,2,1,90.85,0,1,0,1,0,0,1
1,1,1,0,11,1,0,0,0,0,0,0,0,0,0,19.95,214.75,0,0,0,19.52,0,0,1,0,0,1,1
0,1,1,0,55,1,1,0,1,1,0,0,0,0,1,85.45,4874.7,3,2,1,88.63,0,1,0,0,1,0,1
0,0,0,0,34,1,0,0,1,0,0,0,0,0,1,73.95,2524.45,2,1,1,74.25,0,1,0,1,0,0,1
1,0,1,0,69,1,1,0,0,1,0,1,1,0,1,99.45,7007.6,3,3,0,101.56,0,1,0,1,0,0,1
0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,19.9,19.9,0,0,0,19.9,0,0,1,0,0,1,1
1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,19.6,19.6,0,0,0,19.6,0,0,1,0,0,1,1
1,1,0,0,3,1,1,0,1,0,0,0,0,0,1,81.35,233.7,0,1,1,77.9,0,1,0,0,1,0,1
0,0,1,0,22,1,0,0,1,0,0,0,1,0,0,83.3,1845.9,1,2,1,83.9,0,1,0,0,1,0,1
0,1,0,0,1,1,0,0,0,1,0,0,0,0,1,75.3,75.3,0,1,0,75.3,0,1,0,0,0,0,1
0,0,1,0,61,1,0,0,0,0,0,0,0,0,1,19.4,1182.55,3,0,0,19.39,0,0,1,0,0,1,1
1,0,0,0,12,1,0,0,0,0,0,0,0,0,1,45.4,518.9,0,0,0,43.24,0,0,0,0,0,0,1
0,0,0,0,60,1,1,0,1,1,0,1,1,0,1,105.9,6396.45,3,4,1,106.61,0,1,0,0,1,0,1
0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,69.55,69.55,0,0,0,69.55,0,1,0,0,0,1,1
0,0,1,0,28,1,0,0,0,0,0,0,1,0,1,81.05,2227.1,2,1,0,79.54,0,1,0,0,1,0,1
1,0,1,0,4,1,1,0,0,1,0,1,1,0,0,101.15,385.9,0,3,0,96.48,0,1,0,0,1,0,1
1,0,0,0,7,1,1,0,1,0,0,1,1,0,1,99.8,673.25,0,3,1,96.18,0,1,0,0,1,0,1
0,0,1,0,13,1,0,0,0,0,0,0,1,0,0,55.95,734.35,1,1,0,56.49,0,0,0,0,1,0,1
1,0,0,0,1,1,0,0,0,0,0,0,1,0,1,55.0,55.0,0,1,0,55.0,0,0,0,0,1,0,1
0,0,1,0,1,1,0,0,1,0,0,0,0,0,1,74.7,74.7,0,1,1,74.7,0,1,0,0,1,0,1
1,0,0,0,24,1,1,0,1,0,0,0,0,0,1,80.25,1861.5,1,1,1,77.56,0,1,0,0,1,0,1
1,0,0,0,5,1,0,0,0,0,1,1,1,0,1,96.1,453.4,0,3,0,90.68,0,1,0,0,1,0,1
0,0,0,0,15,1,0,0,0,0,0,0,0,0,0,69.0,994.8,1,0,0,66.32,0,1,0,0,0,0,1
0,0,1,0,48,0,0,1,0,1,0,0,1,0,1,45.3,2145.0,2,3,1,44.69,0,0,0,0,0,0,1
0,0,1,0,8,1,0,0,1,0,0,1,0,0,1,83.55,680.05,0,2,1,85.01,0,1,0,0,1,0,1
1,0,0,0,1,1,1,0,0,0,0,0,0,0,1,74.35,74.35,0,0,0,74.35,0,1,0,0,1,0,1
0,0,1,0,2,1,0,1,0,0,0,0,0,0,1,74.4,139.4,0,1,1,69.7,0,1,0,0,1,0,1
1,0,0,0,22,0,0,0,1,1,0,0,1,1,1,43.75,903.6,1,3,1,41.07,1,0,0,0,0,0,1
0,1,0,0,5,0,0,0,1,0,0,0,0,0,0,28.45,131.05,0,1,1,26.21,0,0,0,0,1,0,1
0,0,0,0,12,1,1,1,1,1,0,0,1,0,1,99.7,1238.45,0,4,1,103.2,0,1,0,0,0,0,1
0,1,0,0,20,1,1,0,1,1,0,0,1,0,1,94.1,1782.4,1,3,1,89.12,0,1,0,0,1,0,1
1,0,1,0,2,1,0,0,0,0,1,1,1,0,1,94.2,167.5,0,3,0,83.75,0,1,0,0,1,0,1
0,0,1,0,6,1,1,0,0,0,1,0,0,0,1,80.5,502.85,0,1,0,83.81,0,1,0,0,1,0,1
0,1,1,0,5,1,1,0,0,0,0,0,0,0,1,74.35,334.8,0,0,0,66.96,0,1,0,0,1,0,1
1,0,0,0,40,1,1,0,0,1,1,1,1,0,0,104.8,4131.95,2,4,0,103.3,0,1,0,0,0,0,1
0,1,1,0,27,1,0,1,0,0,0,0,0,0,1,75.2,1929.35,2,1,1,71.46,0,1,0,0,0,0,1
0,0,0,0,23,1,1,0,0,0,0,0,0,0,0,75.6,1758.6,1,0,0,76.46,0,1,0,0,0,0,1
1,0,1,0,34,1,1,0,0,1,0,1,1,0,1,100.05,3480.0,2,3,0,102.35,0,1,0,0,1,0,1
0,0,0,0,1,1,1,0,0,0,0,0,1,0,1,85.0,85.0,0,1,0,85.0,0,1,0,0,1,0,1
1,0,0,0,10,1,1,0,0,0,0,1,0,0,1,86.05,834.1,0,1,0,83.41,0,1,0,0,0,0,1
1,0,0,0,13,0,0,1,0,0,1,1,0,0,1,45.55,597.0,1,3,1,45.92,0,0,0,1,0,0,1
1,0,1,0,39,1,0,0,1,0,0,1,0,0,1,86.3,3266.0,2,2,1,83.74,0,1,0,0,0,1,1
1,0,0,0,32,1,1,0,1,0,0,0,0,0,1,80.35,2596.15,2,1,1,81.13,0,1,0,0,0,0,1
0,0,0,0,35,1,1,0,0,1,0,1,1,0,1,100.25,3527.6,2,3,0,100.79,0,1,0,0,1,0,1
1,0,1,0,56,1,1,0,1,0,0,1,1,1,0,100.3,5614.45,3,3,1,100.26,1,1,0,1,0,0,1
0,0,1,0,12,1,0,0,0,0,0,0,0,0,0,19.0,233.55,0,0,0,19.46,0,0,1,0,0,1,1
0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,75.3,75.3,0,1,1,75.3,0,1,0,0,0,1,1
0,1,0,0,4,1,1,0,0,1,0,1,0,0,1,89.2,346.2,0,2,0,86.55,0,1,0,0,1,0,1
0,1,0,0,1,1,1,0,0,0,0,1,0,0,1,85.7,85.7,0,1,0,85.7,0,1,0,0,1,0,1
0,0,0,0,12,1,1,1,0,1,1,0,0,0,1,61.65,713.75,0,3,1,59.48,0,0,0,0,0,1,1
0,1,1,0,65,1,1,1,0,1,0,1,1,0,0,105.25,6786.4,3,4,1,104.41,0,1,0,0,0,0,1
1,0,1,0,9,0,0,0,1,0,0,0,0,0,1,29.95,248.95,0,1,1,27.66,0,0,0,0,1,0,1
0,0,1,0,9,1,0,1,1,1,1,0,0,0,0,65.0,663.05,0,4,1,73.67,0,0,0,0,0,1,1
0,0,0,0,7,1,0,0,0,0,0,0,0,0,0,20.0,137.6,0,0,0,19.66,0,0,1,0,0,0,1
1,1,1,0,49,1,1,0,1,0,0,0,1,0,0,90.05,4547.25,3,2,1,92.8,0,1,0,1,0,0,1
1,1,1,0,43,1,1,0,1,1,1,1,1,0,1,110.75,4687.9,2,5,1,109.02,0,1,0,0,0,0,1
0,0,1,0,65,1,1,0,1,1,0,1,1,0,1,105.5,6985.65,3,4,1,107.47,0,1,0,0,1,0,1
1,1,1,0,56,1,1,1,0,1,0,1,1,1,1,104.55,5794.65,3,4,1,103.48,1,1,0,0,0,0,1
1,0,1,0,10,1,1,0,0,0,0,0,1,0,1,85.25,855.3,0,1,0,85.53,0,1,0,0,1,0,1
0,0,1,0,43,1,0,0,0,0,0,1,0,0,0,56.15,2499.3,2,1,0,58.12,0,0,0,0,1,0,1
1,0,0,0,1,1,0,0,0,0,0,1,1,0,1,89.55,89.55,0,2,0,89.55,0,1,0,0,1,0,1
1,1,1,0,20,1,1,0,0,0,0,1,1,0,1,94.55,1899.65,1,2,0,94.98,0,1,0,0,1,0,1
1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,45.7,45.7,0,0,0,45.7,0,0,0,0,0,1,1
0,1,0,0,2,1,1,0,1,0,0,0,1,0,0,89.5,161.5,0,2,1,80.75,0,1,0,0,1,0,1
0,0,0,0,3,1,0,0,0,0,0,0,0,0,1,69.55,222.3,0,0,0,74.1,0,1,0,0,0,0,1
0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,74.6,74.6,0,1,0,74.6,0,1,0,0,0,1,1
0,1,0,0,8,1,0,0,0,0,0,0,0,0,0,19.65,164.3,0,0,0,20.54,0,0,1,0,1,0,1
1,0,1,0,2,1,0,0,0,0,0,0,0,1,0,19.85,35.9,0,0,0,17.95,1,0,1,0,0,1,1
0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,24.25,96.05,0,0,0,24.01,0,0,0,0,0,1,1
0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,69.65,145.15,0,0,0,72.58,0,1,0,0,1,0,1
0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,45.65,191.05,0,0,0,47.76,0,0,0,0,0,1,1
0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,75.05,75.05,0,0,0,75.05,0,1,0,0,0,1,1
1,1,0,0,52,0,0,0,1,0,0,1,1,0,1,49.15,2550.9,3,3,1,49.06,0,0,0,0,1,0,1
0,0,0,0,2,0,0,0,0,0,0,0,1,0,1,34.7,62.25,0,1,0,31.12,0,0,0,0,1,0,1
1,0,1,0,1,1,0,0,0,0,0,0,1,0,0,80.0,80.0,0,1,0,80.0,0,1,0,0,1,0,1
1,1,0,0,2,1,0,1,0,0,0,0,0,0,1,49.25,91.1,0,1,1,45.55,0,0,0,0,1,0,1
0,0,0,0,3,1,1,0,0,0,0,0,0,0,1,75.1,270.7,0,0,0,90.23,0,1,0,1,0,0,1
1,0,1,0,3,1,0,0,0,1,0,0,0,0,1,50.15,168.15,0,1,0,56.05,0,0,0,0,1,0,1
0,0,0,0,25,1,0,1,1,0,0,0,0,0,1,79.85,2015.35,2,2,1,80.61,0,1,0,0,0,0,1
1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,19.55,19.55,0,0,0,19.55,0,0,1,0,0,1,1
0,0,1,0,4,1,1,0,0,0,0,0,1,0,1,85.95,381.3,0,1,0,95.32,0,1,0,0,1,0,1
1,0,0,0,3,1,0,0,0,0,0,0,0,0,1,45.35,141.5,0,0,0,47.17,0,0,0,0,1,0,1
1,1,1,0,33,1,1,0,0,0,0,1,1,0,1,94.5,3105.55,2,2,0,94.11,0,1,0,0,1,0,1
0,1,0,0,30,1,1,1,1,1,0,0,0,0,0,91.7,2758.15,2,3,1,91.94,0,1,0,1,0,0,1
0,0,0,0,45,1,1,0,0,1,1,0,0,0,1,87.25,3941.7,2,2,0,87.59,0,1,0,0,1,0,1
1,0,0,0,10,1,1,1,0,0,0,1,1,0,0,98.55,1008.55,0,3,1,100.85,0,1,0,0,1,0,1
1,1,0,0,20,1,1,0,0,1,0,1,1,0,1,98.55,1842.8,1,3,0,92.14,0,1,0,0,1,0,1
0,0,0,0,15,1,0,0,1,0,0,0,1,0,1,85.9,1269.55,1,2,1,84.64,0,1,0,0,0,0,1
0,0,0,0,22,1,0,0,0,0,0,1,1,0,0,89.25,1907.85,1,2,0,86.72,0,1,0,0,1,0,1
1,0,1,0,3,1,0,0,0,0,0,0,0,0,1,70.3,208.85,0,0,0,69.62,0,1,0,0,1,0,1
1,0,0,0,15,1,1,0,0,0,0,1,1,0,1,93.35,1444.65,1,2,0,96.31,0,1,0,0,1,0,1
0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,19.9,19.9,0,0,0,19.9,0,0,1,0,0,1,1
0,0,1,0,5,1,0,1,0,1,0,0,1,0,1,88.9,454.15,0,3,1,90.83,0,1,0,0,0,1,1
1,0,1,0,33,1,0,0,0,1,0,1,1,1,1,95.8,3036.75,2,3,0,92.02,1,1,0,0,1,0,1
1,0,0,0,2,1,1,0,1,0,0,0,0,0,1,82.0,184.65,0,1,1,92.32,0,1,0,0,1,0,1
1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,45.35,89.5,0,0,0,44.75,0,0,0,0,1,0,1
0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,52.2,52.2,0,1,0,52.2,0,0,0,0,1,0,1
0,1,0,0,46,1,1,1,1,1,0,1,1,1,1,110.0,4874.8,2,5,1,105.97,1,1,0,0,1,0,1
1,0,0,0,62,1,1,0,0,1,0,1,1,1,1,96.75,6125.4,3,3,0,98.8,1,1,0,0,1,0,1
0,0,0,0,10,1,1,0,0,0,1,1,1,0,1,98.5,1058.25,0,3,0,105.82,0,1,0,0,1,0,1
1,0,0,0,6,1,0,0,1,0,0,1,0,0,1,85.35,489.45,0,2,1,81.58,0,1,0,0,1,0,1
1,0,1,0,40,1,1,0,1,0,0,1,1,0,1,101.3,4113.1,2,3,1,102.83,0,1,0,0,1,0,1
1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,69.55,69.55,0,0,0,69.55,0,1,0,0,1,0,1
1,0,0,0,58,1,1,0,1,1,0,1,1,1,1,103.25,6017.65,3,4,1,103.75,1,1,0,0,0,0,1
1,0,0,0,70,1,1,1,0,0,1,1,1,2,1,104.0,7250.15,3,4,1,103.57,1,1,0,1,0,0,1
0,0,0,0,2,1,0,0,0,1,0,0,1,0,1,86.2,178.7,0,2,0,89.35,0,1,0,0,0,1,1
1,0,1,0,21,1,1,0,1,1,1,1,1,0,1,111.2,2317.1,1,5,1,110.34,0,1,0,0,1,0,1
0,0,1,0,16,1,0,0,1,1,0,1,0,0,1,89.45,1430.25,1,3,1,89.39,0,1,0,1,0,0,1
1,1,1,0,7,1,1,0,0,0,0,1,1,0,1,95.6,644.35,0,2,0,92.05,0,1,0,0,0,0,1
1,0,1,0,60,1,0,0,1,1,0,1,0,1,0,90.95,5453.4,3,3,1,90.89,1,1,0,0,1,0,1
0,0,1,0,50,1,1,1,1,0,1,1,1,1,0,108.55,5610.7,3,5,1,112.21,1,1,0,0,1,0,1
0,1,0,0,4,1,0,0,0,0,0,1,0,0,1,78.85,292.8,0,1,0,73.2,0,1,0,0,1,0,1
1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,44.4,44.4,0,0,0,44.4,0,0,0,0,0,1,1
0,1,0,0,55,1,1,0,0,1,0,1,1,1,1,100.0,5509.3,3,3,0,100.17,1,1,0,0,1,0,1
0,0,1,0,12,1,0,0,0,0,0,0,0,1,0,19.8,229.6,0,0,0,19.13,1,0,1,0,0,0,1
1,0,0,0,1,1,0,0,0,0,0,1,1,0,1,89.9,89.9,0,2,0,89.9,0,1,0,0,1,0,1
0,0,0,0,62,1,1,0,0,1,0,1,1,1,1,100.15,6413.65,3,3,0,103.45,1,1,0,0,1,0,1
1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,50.8,50.8,0,1,1,50.8,0,0,0,0,1,0,1
1,1,1,0,20,1,0,0,1,0,0,0,0,0,1,73.65,1463.5,1,1,1,73.18,0,1,0,0,1,0,1
